Subject	Relation_id	Relation_choice	Object	Md5	Trunk	ID	ce_id	timid	timespan
Iraqi Forces	193	Fight with small arms and light weapons	IS	278da7967a179193e754b3565119bdd4	[4:7:8]	5457	10	12	48
The United States	166	Expel or withdraw	Tikrit	730a3214b49ba6a8eef31b5cf3cd77fb	[3:9:12]	8664	10	12	48
U.S.-led coalition	160	Reduce relations	Tikrit	278da7967a179193e754b3565119bdd4	[1:0:3]	8704	10	12	48
Islamic State	0242	Appeal for policy change	City	ad252af9407719257fd1ff723dc8ff2f	[3:8:10]	8727	10	12	48
Iranian-supported	1232	Reject request to change policy	Islamic State	71965d77ed886dcd54c9262c7bae06c1	[1:0:1]	114	10	13	48
Iraqi Forces	062	Cooperate militarily	Iranian-supported	71965d77ed886dcd54c9262c7bae06c1	[2:2:4]	115	10	13	48
Asaib Ahl al-Haq	062	Cooperate militarily	Kataib Hezbollah	c7a6087da2c138c620ef35cdd6f7151b	[6:10:12]	700	10	13	48
Joint Chiefs of Staff Chairman Gen. Martin Dempsey	012	Make pessimistic comment	Senators	71965d77ed886dcd54c9262c7bae06c1	[2:2:4]	2944	10	13	48
Joint Chiefs of Staff Chairman Gen. Martin Dempsey	015	Non-apologetically acknowledge or claim responsibility	Senate Armed Services Committee	71965d77ed886dcd54c9262c7bae06c1	[5:11:14]	2946	10	13	48
General Dempsey	013	Make optimistic comment	Senate Armed Services Committee	d11ea7ffac4af49a1893ec814449c079	[2:4:8]	3078	10	13	48
Hadi al-Amiri	111	Criticize or denounce	Sunni tribes	d11ea7ffac4af49a1893ec814449c079	[8:29:32]	5638	10	13	48
Shiite leaders and militias	175	Use tactics of violent repression	Sunni residents of Tikrit	c7a6087da2c138c620ef35cdd6f7151b	[8:15:16]	7827	10	13	48
Josh Earnest	013	Make optimistic comment	Iraqi operation	f6016c53f344d68b17c38b6916b55fae	[1:0:1]	4618	10	14	48
Militias	062	Cooperate militarily	Quds Force	a63229d0821e83dc96b5a51ea231d3b9	[1:0:1]	901	10	15	48
Quds Force	062	Cooperate militarily	Militias	a63229d0821e83dc96b5a51ea231d3b9	[2:2:3]	903	10	15	48
Iranian Quds Force General Qassem Suleimani	062	Cooperate militarily	Shi'ite militia	a63229d0821e83dc96b5a51ea231d3b9	[5:7:8]	905	10	15	48
Dr. Haider al-Abadi	1011	Demand economic cooperation	Militias	a63229d0821e83dc96b5a51ea231d3b9	[3:4:4]	7246	10	15	48
Quds forces	062	Cooperate militarily	Hezbollah	d2bd3cfd7dfbb278affd19a0026deb6f	[3:10:13]	307	10	17	48
Quds forces	0311	Express intent to cooperate economically	Bashar al-Assad	d2bd3cfd7dfbb278affd19a0026deb6f	[3:10:13]	308	10	17	48
Iraqi government forces and tribal militia fighters	062	Cooperate militarily	U.S.-led coalition	6f7258f171ab78b0255ae7693630f57c	[4:15:20]	1109	10	17	48
U.S.-led coalition	072	Provide military aid	Iraq for the Tikrit offensive	6f7258f171ab78b0255ae7693630f57c	[2:6:9]	2701	10	17	48
U.S.-led coalition	072	Provide military aid	Iraqi forces in Baghdadi	6f7258f171ab78b0255ae7693630f57c	[4:15:20]	2702	10	17	48
IRGC Aerospace Force Brigadier General Amir Ali Hajizadeh	013	Make optimistic comment	assistance to KRG	d2bd3cfd7dfbb278affd19a0026deb6f	[2:6:9]	3245	10	17	48
Iraqi Forces	013	Make optimistic comment	Dur liberation	6f7258f171ab78b0255ae7693630f57c	[3:10:14]	4659	10	17	48
Top U.S. General	111	Criticize or denounce	IS fighters	6f7258f171ab78b0255ae7693630f57c	[1:0:5]	6616	10	17	48
IRGC's Quds Force	1952	Employ remotely piloted aerial munitions	Iran-backed	6b5912523b99524e93d4ac1693956968	[1:0:5]	77	10	18	48
Iraqi Forces	062	Cooperate militarily	Shi'ite Muslim groups	717553d68339bfd133dcc7ee5fcf1d67	[1:0:4]	231	10	18	48
Iranian general Ghasem Soleimani	0831	Accede to demands for change in leadership	Eastern Flank Operations	717553d68339bfd133dcc7ee5fcf1d67	[2:5:8]	1386	10	18	48
Iran-backed	072	Provide military aid	Pro-government troops	99936217e9a06a54a121c7cf2d7a43e6	[1:0:9]	2554	10	18	48
Martin Dempsey	0311	Express intent to cooperate economically	Senate Armed Services Committee	6b5912523b99524e93d4ac1693956968	[1:0:5]	2867	10	18	48
Ashton Carter	012	Make pessimistic comment	House Appropriations defense subcommittee	6b5912523b99524e93d4ac1693956968	[1:0:5]	2868	10	18	48
Tehran	032	Express intent to engage in diplomatic cooperation	Washington	717553d68339bfd133dcc7ee5fcf1d67	[3:9:12]	4936	10	18	48
IS	062	Cooperate militarily	Ras Al-Ain	8b20e9ecc1b8e9c1305a80d0db0e1d55	[4:12:16]	658	10	20	48
IS	183	Conduct suicide, car, or other non-military bombing	Ramadi	8b20e9ecc1b8e9c1305a80d0db0e1d55	[4:12:16]	7941	10	20	48
Government Forces	1412	Demonstrate or rally for policy change	Neighborhood of Qadisiyah	8b20e9ecc1b8e9c1305a80d0db0e1d55	[2:4:7]	8204	10	20	48
City	062	Cooperate militarily	U.S.-led coalition	fae1ae044e80f1c68fe81ef3e55ba62c	[4:12:16]	16	10	21	48
Iraqi government	062	Cooperate militarily	Iran-backed	0a3ae3af0a5c109e1c5f34074057f367	[4:8:10]	1128	10	21	48
Khaled al-Obeidi	042	Make a visit	Tikrit	52ed1ef521fa75598a6a6c8ffdd5fc02	[2:4:6]	1563	10	21	48
Khaled al-Obeidi	042	Make a visit	Iranian general Ghasem Soleimani	52ed1ef521fa75598a6a6c8ffdd5fc02	[2:4:6]	1564	10	21	48
Iranian general Ghasem Soleimani	042	Make a visit	Khaled al-Obeidi	52ed1ef521fa75598a6a6c8ffdd5fc02	[2:4:6]	1565	10	21	48
General Dempsey	1951	Employ precision-guided aerial munitions	Haider Abadi	0a3ae3af0a5c109e1c5f34074057f367	[7:17:19]	2170	10	21	48
Minister of Defence	013	Make optimistic comment	Iraqi people	fae1ae044e80f1c68fe81ef3e55ba62c	[5:17:20]	2769	10	21	48
Amnesty International	010	Make public statement	AFP	fae1ae044e80f1c68fe81ef3e55ba62c	[8:31:31]	2771	10	21	48
General Dempsey	012	Make pessimistic comment	Iran-backed	54daddf7dc36b2b8557c4332941f8d37	[2:3:6]	3122	10	21	48
General Dempsey	111	Criticize or denounce	Iran-backed Shi’ite attacking force	54daddf7dc36b2b8557c4332941f8d37	[1:0:2]	5656	10	21	48
Qassem Soleimani	175	Use tactics of violent repression	Sunni residents of Tikrit	0a3ae3af0a5c109e1c5f34074057f367	[4:8:10]	7878	10	21	48
Iraqi Forces	152	Increase military alert status	IS in Tikrit	fae1ae044e80f1c68fe81ef3e55ba62c	[0:0:0]	8274	10	21	48
Shi'ite Muslim groups	062	Cooperate militarily	Iraqi government forces	cddacd085bd8214dd23e06fbb8b5fcf6	[1:0:5]	435	10	22	48
Iranian general Ghasem Soleimani	042	Make a visit	Tikrit	cddacd085bd8214dd23e06fbb8b5fcf6	[5:20:24]	1572	10	22	48
Iraqi Forces	1384	Threaten to use conventional attack	Islamic State	cddacd085bd8214dd23e06fbb8b5fcf6	[0:0:0]	5401	10	22	48
Iraqi government forces	1245	Refuse to allow non-mediatory international involvement	Islamic State	cddacd085bd8214dd23e06fbb8b5fcf6	[1:0:5]	5402	10	22	48
Iraqi Forces	1054	Demand easing of economic sanctions, boycott, or embargo	Islamic State	cddacd085bd8214dd23e06fbb8b5fcf6	[2:6:10]	5403	10	22	48
Iraqi Forces	193	Fight with small arms and light weapons	Islamic State	cddacd085bd8214dd23e06fbb8b5fcf6	[4:16:19]	5404	10	22	48
Islamic State	183	Conduct suicide, car, or other non-military bombing	Iraqi government forces	cddacd085bd8214dd23e06fbb8b5fcf6	[3:11:15]	7927	10	22	48
Qassem Soleimani	193	Fight with small arms and light weapons	ISIS terrorist group	550bf9e3696bb11f6c324ef5b328670d	[1:0:21]	5408	10	23	48
Brig. John Glubb Pasha	019	Express accord	Trans Jordan view	7fb5b101c4e5e9968d2077a1b8de65d8	[1:0:2]	3840	10	25	48
British Army	0211	Appeal for economic cooperation	Hashemite Kingdom of Jordan	7fb5b101c4e5e9968d2077a1b8de65d8	[0:0:0]	6810	10	25	48
British Troops	138	Threaten with military force	Iraqi forces in the Palestine triangle	7fb5b101c4e5e9968d2077a1b8de65d8	[1:0:2]	6811	10	25	48
Al-Azhar Sheikh	112	Accuse	Popular Mobilisation Forces	579ab69055a7711c8c4955c55c57673b	[2:4:7]	6043	10	26	48
Ministry of Foreign Affairs	024	Appeal for political reform	Egyptian government	579ab69055a7711c8c4955c55c57673b	[2:4:7]	6956	10	26	48
US-led coalition	062	Cooperate militarily	Kurdish forces	3e22a57705bdf265ee6487cd198cd9ee	[3:10:13]	1142	10	29	48
Iraqi government	060	Engage in material cooperation	Islamic State of Iraq and Syria (ISIS) [Daesh]	3e22a57705bdf265ee6487cd198cd9ee	[4:14:17]	1143	10	29	48
Ashton Carter	040	Consult or meet	John Allen	3e22a57705bdf265ee6487cd198cd9ee	[6:22:24]	2179	10	29	48
US ambassadors	043	Host a visit	Ashton Carter	3e22a57705bdf265ee6487cd198cd9ee	[6:22:24]	2180	10	29	48
The United States	072	Provide military aid	Israel	aa30e7f4b69cbd7ea88bc1c072d8df87	[2:3:5]	2707	10	29	48
Sen. Kamala Harris	0311	Express intent to cooperate economically	Arab states	aa30e7f4b69cbd7ea88bc1c072d8df87	[5:15:18]	4676	10	29	48
Gen Colin Powell	039	Express intent to mediate	Israel	aa30e7f4b69cbd7ea88bc1c072d8df87	[1:0:2]	5306	10	29	48
The United States	033	Express intent to provide material aid	Israel	aa30e7f4b69cbd7ea88bc1c072d8df87	[3:6:10]	5307	10	29	48
Ashton Carter	1721	Impose restrictions on political freedoms	Coalition forces	3e22a57705bdf265ee6487cd198cd9ee	[2:5:9]	5310	10	29	48
Ashton Carter	031	Express intent to engage in material cooperation	Anti-Daesh coalition	3e22a57705bdf265ee6487cd198cd9ee	[5:18:21]	5311	10	29	48
The United States	110	Verbally disapprove	Arab states	aa30e7f4b69cbd7ea88bc1c072d8df87	[3:6:10]	6622	10	29	48
Sen. Kamala Harris	111	Criticize or denounce	Kuwait	aa30e7f4b69cbd7ea88bc1c072d8df87	[5:15:18]	6623	10	29	48
President Bush	105	Demand that target yield or concede	Israel	aa30e7f4b69cbd7ea88bc1c072d8df87	[4:11:14]	7296	10	29	48
Secretary of State James Baker	053	Rally support on behalf of	Arab	aa30e7f4b69cbd7ea88bc1c072d8df87	[4:11:14]	7727	10	29	48
John Allen	051	Praise or endorse	Anti-Daesh coalition	3e22a57705bdf265ee6487cd198cd9ee	[6:22:24]	7733	10	29	48
Hadi al-Amiri	062	Cooperate militarily	Qassem Soleimani	5386f46d40b275ce401fdb04cdaabbe1	[0:0:0]	610	10	31	48
Qassem Soleimani	072	Provide military aid	Militia	5386f46d40b275ce401fdb04cdaabbe1	[1:0:3]	2509	10	31	48
Hadi al-Amiri	015	Non-apologetically acknowledge or claim responsibility	Qassem Soleimani	5386f46d40b275ce401fdb04cdaabbe1	[1:0:3]	3862	10	31	48
Iraqi Forces	062	Cooperate militarily	Shi'ite militia	b3048657e1cefe180d30c06585d1b16e	[1:0:1]	1079	10	32	48
John Brennan	013	Make optimistic comment	ISIL Presence	581a2ecdbaabeb94bd3dcc94a285a6c9	[1:0:4]	4538	10	32	48
Khaled al-Obeidi	014	Consider policy option	Iraqi Forces	b3048657e1cefe180d30c06585d1b16e	[3:3:5]	4644	10	32	48
CIA Director	110	Verbally disapprove	Iran General	d5f403408ad7b7e000312e8641f4e453	[0:0:0]	6274	10	32	48
Iraqi Forces	112	Accuse	Iran-backed	b3048657e1cefe180d30c06585d1b16e	[1:0:1]	6599	10	32	48
Various leaders	027	Appeal to others to settle dispute	Shi'ite militia	b3048657e1cefe180d30c06585d1b16e	[1:0:1]	7029	10	32	48
Iraqi military leaders	021	Appeal for material cooperation	U.S.-led coalition	b3048657e1cefe180d30c06585d1b16e	[3:3:5]	7030	10	32	48
US-led air strikes	175	Use tactics of violent repression	ISIL Presence	581a2ecdbaabeb94bd3dcc94a285a6c9	[1:0:4]	7860	10	32	48
Major General Qasem Soleimani	1121	Accuse of crime, corruption	Badr Brigade Cmdr. Hadi al-Ameri	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	198	10	33	48
Badr Brigade Cmdr. Hadi al-Ameri	062	Cooperate militarily	Major General Qasem Soleimani	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	199	10	33	48
Major General Qasem Soleimani	062	Cooperate militarily	Imam Ali Brigade Cmdrs.	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	200	10	33	48
Imam Ali Brigade Cmdrs.	062	Cooperate militarily	Major General Qasem Soleimani	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	201	10	33	48
Shi'ite militia	062	Cooperate militarily	Iraqi Forces	b8df1c3d514c018ff226aca7e3aafec2	[3:4:5]	202	10	33	48
Iranian general Ghasem Soleimani	062	Cooperate militarily	Shiite movement Hezbollah	74197dcaa29c0827ee484ecf4677ac8b	[6:19:21]	938	10	33	48
The United States	044	Meet at a third location	Iraqi government	74197dcaa29c0827ee484ecf4677ac8b	[2:4:7]	2077	10	33	48
Iraqi Forces	072	Provide military aid	Paramilitary Shiite forces	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	2327	10	33	48
John Kirby	015	Non-apologetically acknowledge or claim responsibility	Iranian air forces	74197dcaa29c0827ee484ecf4677ac8b	[1:0:3]	4449	10	33	48
Paramilitary Shiite forces	193	Fight with small arms and light weapons	IS	b8df1c3d514c018ff226aca7e3aafec2	[1:0:1]	5368	10	33	48
Iraqi Forces	193	Fight with small arms and light weapons	IS	b8df1c3d514c018ff226aca7e3aafec2	[1:0:1]	5369	10	33	48
Iranian fighter jets	195	Employ aerial weapons	Daesh	74197dcaa29c0827ee484ecf4677ac8b	[0:0:0]	5453	10	33	48
Iraqi government forces	0841	Return, release persons	Iran-backed	649ba2fbe8292c2f3995a54db8b052dd	[1:0:2]	280	10	34	48
Iraqi government	061	Cooperate economically	Western and Iranian allies	649ba2fbe8292c2f3995a54db8b052dd	[4:10:13]	281	10	34	48
Major-General Qasim Sulaimani	062	Cooperate militarily	US-led coalition	f573442768661873eb853d0c71da14f2	[4:11:14]	919	10	34	48
U.S.-led coalition	072	Provide military aid	Iraqi government forces	3ffdda6361cb6ae1f49dbb34d6025076	[1:0:4]	2504	10	34	48
Coalition Command	015	Non-apologetically acknowledge or claim responsibility	[Islamic State]	fccdf9bbc2d46ed14992498b072b77aa	[1:0:2]	2755	10	34	48
U.S. Army Lt Gen James L Terry	013	Make optimistic comment	[Islamic State]	fccdf9bbc2d46ed14992498b072b77aa	[1:0:2]	2756	10	34	48
Senior Western diplomat	013	Make optimistic comment	Iraqi government	3ffdda6361cb6ae1f49dbb34d6025076	[3:9:12]	3843	10	34	48
Iraqi president	031	Express intent to engage in material cooperation	U.S.-led coalition	3ffdda6361cb6ae1f49dbb34d6025076	[0:0:0]	5095	10	34	48
Haider al-Abadi	028	Appeal to others to engage in or accept mediation	Coalition forces	fccdf9bbc2d46ed14992498b072b77aa	[1:0:2]	6911	10	34	48
Iraqi Forces	023	Appeal for material aid	U.S.-led coalition	3ffdda6361cb6ae1f49dbb34d6025076	[2:5:8]	6963	10	34	48
Iraqi Forces	021	Appeal for material cooperation	US-led coalition	f573442768661873eb853d0c71da14f2	[3:6:10]	7016	10	34	48
Iraqi government	1823	Kill by physical assault	U.S.-led coalition	3ffdda6361cb6ae1f49dbb34d6025076	[2:5:8]	7181	10	34	48
Iranian-backed paramilitaries	121	Reject material cooperation	US air power	f573442768661873eb853d0c71da14f2	[3:6:10]	8580	10	34	48
The United States	060	Engage in material cooperation	Israel	bbcc65ce6da0e43d93261c303f8c91a1	[4:8:10]	1197	10	35	48
U.S.-led coalition	072	Provide military aid	Iraqi special forces	bcdc42b6064236114fa49c5c39227d5f	[0:0:0]	2342	10	35	48
Coalition	072	Provide military aid	Iraqi Forces	bcdc42b6064236114fa49c5c39227d5f	[5:15:18]	2343	10	35	48
Iraq's Defence Ministry	013	Make optimistic comment	coalition air strikes	bcdc42b6064236114fa49c5c39227d5f	[2:5:7]	3108	10	35	48
General Tahsin Ibrahim Sadiq	013	Make optimistic comment	Enemy Forces	bcdc42b6064236114fa49c5c39227d5f	[2:5:7]	3109	10	35	48
Omar al-Tikriti	013	Make optimistic comment	IS leadership command locations	bcdc42b6064236114fa49c5c39227d5f	[4:11:14]	3110	10	35	48
State Department spokeswoman Jen Psaki	010	Make public statement	ISIL Presence	2caea2505de6c6b2ecee1cb212bbf35d	[1:0:2]	4261	10	35	48
Ephraim Halevy	013	Make optimistic comment	Lebanon	bbcc65ce6da0e43d93261c303f8c91a1	[4:8:10]	4803	10	35	48
PLO leader Yasser Arafat	013	Make optimistic comment	Israel	bbcc65ce6da0e43d93261c303f8c91a1	[5:11:13]	4804	10	35	48
The United States	170	Coerce	Syria	bbcc65ce6da0e43d93261c303f8c91a1	[4:8:10]	7888	10	35	48
Haider Abadi	013	Make optimistic comment	Iraqi people	a66bff7fdefbceff9f1baff1d5c8ce6d	[3:10:14]	3954	10	36	48
Haider al-Abadi	023	Appeal for material aid	US-led international alliance	a66bff7fdefbceff9f1baff1d5c8ce6d	[2:5:9]	6969	10	36	48
United States Department Of Defense	154	Mobilize or increase armed forces	Islamic State-held bridge and area along a river	a66bff7fdefbceff9f1baff1d5c8ce6d	[3:10:14]	8309	10	36	48
US-led international alliance	1384	Threaten to use conventional attack	Iraqi military	2c38ded3b682c20f243f76ecfaf27c8f	[1:0:2]	2596	10	37	48
Iraqi Forces	021	Appeal for material cooperation	coalition air strikes	2c38ded3b682c20f243f76ecfaf27c8f	[3:6:8]	7000	10	37	48
Iran-backed	143	Conduct strike or boycott	The United States	2c38ded3b682c20f243f76ecfaf27c8f	[2:3:5]	8081	10	37	48
Badr Organization	143	Conduct strike or boycott	Iraqi Forces	2c38ded3b682c20f243f76ecfaf27c8f	[2:3:5]	8082	10	37	48
Shi’ite militia groups	062	Cooperate militarily	Iraqi Forces	a64dc53eda8b22cfabb80696e96b0b31	[2:4:7]	1013	10	39	48
John Boehner	0311	Express intent to cooperate economically	City	a20137983afcb9cef7f0bcfbd16f90d9	[0:0:0]	1493	10	39	48
House Speaker John Boehner	042	Make a visit	Haider al-Abadi	a20137983afcb9cef7f0bcfbd16f90d9	[1:0:2]	1494	10	39	48
House Speaker John Boehner	1834	Carry out location bombing	Salim al-Jabouri	a20137983afcb9cef7f0bcfbd16f90d9	[1:0:2]	1495	10	39	48
Salim al-Jabouri	040	Consult or meet	House Speaker John Boehner	a20137983afcb9cef7f0bcfbd16f90d9	[1:0:2]	1496	10	39	48
United Nations Secretary-General	042	Make a visit	Haider al-Abadi	a20137983afcb9cef7f0bcfbd16f90d9	[2:3:5]	1497	10	39	48
United Nations Secretary-General	042	Make a visit	Iraqi leaders	0342b2687d9fb9120f23f72cf3b84460	[1:0:4]	1923	10	39	48
House Speaker John Boehner	019	Express accord	Jordan	a20137983afcb9cef7f0bcfbd16f90d9	[2:3:5]	3384	10	39	48
House Speaker John Boehner	013	Make optimistic comment	ISIL Presence	a20137983afcb9cef7f0bcfbd16f90d9	[3:6:8]	3385	10	39	48
Republican Senators	012	Make pessimistic comment	Iran nuclear program	a20137983afcb9cef7f0bcfbd16f90d9	[3:6:8]	3386	10	39	48
John Boehner	030	Express intent to cooperate	Israel	a20137983afcb9cef7f0bcfbd16f90d9	[4:9:10]	5016	10	39	48
Iraqi Forces	1312	Threaten to boycott, embargo, or sanction	IS-held Tikrit	a64dc53eda8b22cfabb80696e96b0b31	[0:0:0]	5459	10	39	48
Iraqi Forces	193	Fight with small arms and light weapons	ISIS terrorist group	a64dc53eda8b22cfabb80696e96b0b31	[1:0:3]	5460	10	39	48
Iraqi Forces	0233	Appeal for humanitarian aid	Popular Mobilisation units	90c8148816b55ad9dbed9fc48b26224a	[1:0:3]	614	10	40	48
Militia	062	Cooperate militarily	Popular Mobilisation units	90c8148816b55ad9dbed9fc48b26224a	[1:0:3]	615	10	40	48
Popular Mobilisation members	062	Cooperate militarily	Federal police	90c8148816b55ad9dbed9fc48b26224a	[2:4:7]	616	10	40	48
Iraqi Forces	062	Cooperate militarily	Islamic State	0a7d40b983cff83fe4422a3478574d46	[1:0:3]	879	10	40	48
Iraqi Forces	1321	Threaten with restrictions on political freedoms	Islamic State	0a7d40b983cff83fe4422a3478574d46	[1:0:3]	880	10	40	48
Shi'ite militia groups and Sunni tribes	062	Cooperate militarily	Islamic State	0a7d40b983cff83fe4422a3478574d46	[1:0:3]	881	10	40	48
Iraqi Forces	040	Consult or meet	Militia	90c8148816b55ad9dbed9fc48b26224a	[1:0:3]	1748	10	40	48
Pentagon	072	Provide military aid	Iraqi Forces	f40a1ab0d4d95e83fa4954794dcd7c50	[2:6:9]	2346	10	40	48
US-led coalition	072	Provide military aid	Tikrit	90c8148816b55ad9dbed9fc48b26224a	[3:8:11]	2510	10	40	48
US-led air strikes	072	Provide military aid	Iraqi government	0a7d40b983cff83fe4422a3478574d46	[1:0:3]	2621	10	40	48
Iraqi government	190	Use conventional military force	Islamic State	0a7d40b983cff83fe4422a3478574d46	[0:0:0]	5448	10	40	48
Popular Mobilisation units	111	Criticize or denounce	US-led coalition	de4141afb157066db7fa1f11bdc97886	[5:18:21]	6652	10	41	48
Iraqi government	192	Occupy territory	Shi’ite Militias	bb99a0b97559b301f86b3abfb4078110	[3:4:5]	5416	10	48	48
Sunni tribes	023	Appeal for material aid	Iraqi government	bb99a0b97559b301f86b3abfb4078110	[5:8:9]	6960	10	48	48
Government of Iran	101	Demand material cooperation	Iran-Turkmenistan	655d6ca9edc4a17daff323cca541ecb6	[2:4:7]	21059	1012	681	39
Envoys from Iran	046	Engage in negotiation	Turkmen counterparts	655d6ca9edc4a17daff323cca541ecb6	[2:4:7]	27624	1012	681	39
The Cabinet	014	Consider policy option	National Gas Company	8950cd39bf53bf2128748a5b0c72da63	[1:0:5]	19413	1012	682	39
National Gas Company	105	Demand that target yield or concede	natural gas pricing	8950cd39bf53bf2128748a5b0c72da63	[1:0:5]	21759	1012	682	39
Majid Bujarzadeh	015	Non-apologetically acknowledge or claim responsibility	Iran-Turkmenistan	20c100b57ce8f90e5202fd7f01c012da	[1:0:2]	19332	1012	683	39
National Iranian Gas Company	061	Cooperate economically	Turkmengas	7ca4dcd7cdc9f0ee9cb5c827427751e9	[1:0:5]	24559	1012	686	39
Iran's Ministry of Petroleum	114	Complain officially with written or institutionalized behaviors	Iran-Turkmenistan	0c1ccb4066230ebf0f4ef3448b5f0057	[3:7:8]	10916	1012	688	39
Head of Tavanir Arash Kordi	040	Consult or meet	Iraqi Delegate	802c21d1419b5dc389900d5ec4a13ebe	[1:0:2]	28907	1012	690	39
Astan Quds Razavi Holding	061	Cooperate economically	Tous gas field	b725ffd80f091d062417bd225eec719b	[1:0:6]	23915	1012	692	39
Bijan Zanganeh	014	Consider policy option	Iran-Turkmenistan	2365fc33f86c44edeeff769f3214a3be	[1:0:3]	13738	1012	697	39
Ali Majedi	013	Make optimistic comment	Europe	2365fc33f86c44edeeff769f3214a3be	[5:13:15]	13739	1012	697	39
Iran-Turkmenistan	061	Cooperate economically	China	2365fc33f86c44edeeff769f3214a3be	[3:6:9]	22309	1012	697	39
